学号,开始日期,结束日期,学院,专业,班级,见证人
202400313,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400314,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400315,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400316,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400317,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400318,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400319,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400320,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400321,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400322,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400323,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400324,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400325,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400326,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400327,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400328,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400329,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400330,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400331,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400332,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400333,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400334,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400335,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400336,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400337,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400338,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400339,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400340,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400341,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400342,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400343,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400344,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400345,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400346,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400347,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400348,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400349,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400350,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400351,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400352,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400353,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400354,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400355,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400356,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400357,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400358,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400359,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400360,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400361,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400362,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400363,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400364,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400365,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400366,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400367,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400368,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2402班,张伟
202400369,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400370,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400371,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400372,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400373,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400374,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400375,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400376,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400377,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400378,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400379,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400380,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400381,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400382,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400383,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400384,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400385,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400386,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400387,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400388,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400389,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400390,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400391,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400392,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400393,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400394,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400395,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400396,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400397,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400398,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400399,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400400,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400401,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400402,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2403班,张伟
202400403,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400404,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400405,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400406,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400407,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400408,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400409,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400410,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400411,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400412,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400413,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400414,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400415,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400416,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400417,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400418,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400419,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400420,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400421,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400422,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400423,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400424,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400425,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400426,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400427,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400428,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400429,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400430,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400431,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400432,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400433,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400434,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400435,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400436,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2404班,张伟
202400437,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400438,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400439,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400440,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400441,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400442,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400443,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400444,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400445,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400446,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400447,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400448,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400449,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400450,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400451,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400452,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400453,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400454,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400455,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400456,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400457,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400458,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400459,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400460,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400461,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400462,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400463,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400464,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400465,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400466,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400467,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400468,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400469,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400470,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2401班,周建军
202400471,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400472,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400473,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400474,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400475,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400476,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400477,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400478,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400479,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400480,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400481,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400482,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400483,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400484,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400485,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400486,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400487,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400488,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400489,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400490,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400491,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400492,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400493,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400494,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400495,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400496,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400497,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400498,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400499,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400500,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400501,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400502,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400503,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400504,2024-09-01,2028-07-01,汽车工程学院,能源与动力工程,能动2402班,周建军
202400505,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400506,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400507,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400508,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400509,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400510,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400511,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400512,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400513,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400514,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400515,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400516,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400517,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400518,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400519,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400520,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400521,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400522,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400523,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400524,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400525,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400526,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400527,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400528,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400529,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400530,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400531,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400532,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400533,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400534,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400535,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400536,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400537,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2401班,孙丽华
202400538,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400539,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400540,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400541,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400542,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400543,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400544,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400545,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400546,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400547,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400548,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400549,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400550,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400551,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400552,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400553,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400554,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400555,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400556,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400557,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400558,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400559,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400560,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400561,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400562,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400563,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400564,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400565,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400566,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400567,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400568,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400569,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400570,2024-09-01,2028-07-01,汽车工程学院,机械设计制造及其自动化,机电2402班,孙丽华
202400571,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400572,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400573,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400574,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400575,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400576,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400577,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400578,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400579,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400580,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400581,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400582,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400583,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400584,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400585,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400586,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400587,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400588,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400589,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400590,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400591,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400592,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400593,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400594,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400595,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400596,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400597,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400598,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400599,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202400600,2024-09-01,2028-07-01,汽车工程学院,交通运输,交通2401班,钱雅琴
202500601,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500602,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500603,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500604,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500605,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500606,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500607,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500608,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500609,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500610,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500611,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500612,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500613,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500614,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500615,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500616,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500617,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500618,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500619,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500620,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500621,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
202500622,2025-09-01,2029-07-01,汽车工程学院,车辆工程,车辆2501班,陈晓宇
