学号,组织名称,组织类型,职务,开始日期,结束日期,状态,审核人,审核意见
202400417,智能汽车协会,科技类社团,成员,2024-09-01,2025-09-01,通过,张伟,佐证材料完整，予以通过
202400422,汽车工程学院学生会,学生会组织,部长,2024-09-01,2025-09-01,通过,张伟,材料齐全，同意认定
202400423,车辆2404班,班团委,班长,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400427,车辆2404班,班团委,学习委员,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400430,校学生会,学生会组织,主席团,2024-09-01,2025-09-01,通过,张伟,材料齐全，同意认定
202400432,汽车工程学院学生会,学生会组织,干事,2024-09-01,2025-09-01,通过,张伟,佐证材料完整，予以通过
202400433,校辩论队,文艺体育社团,成员,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400436,车辆2404班,班团委,班长,2024-09-01,2025-09-01,待审核,,
202400438,智能汽车协会,科技类社团,技术负责人,2024-09-01,2025-09-01,通过,周建军,材料齐全，同意认定
202400440,能动2401班,班团委,文艺委员,2024-09-01,2025-09-01,通过,周建军,材料齐全，同意认定
202400442,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,公示中,周建军,佐证材料完整，予以通过
202400443,智能汽车协会,科技类社团,副社长,2024-09-01,2025-09-01,通过,周建军,佐证材料完整，予以通过
202400444,能动2401班,班团委,文艺委员,2024-09-01,2025-09-01,通过,周建军,材料齐全，同意认定
202400445,智能汽车协会,科技类社团,成员,2024-09-01,2025-09-01,通过,周建军,符合认定条件，通过
202400446,校学生会,学生会组织,部长,2024-09-01,2025-09-01,通过,周建军,佐证材料完整，予以通过
202400447,校学生会,学生会组织,部长,2024-09-01,2025-09-01,待审核,,
202400449,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,通过,周建军,符合认定条件，通过
202400450,能动2401班,班团委,班长,2024-09-01,2025-09-01,通过,周建军,材料齐全，同意认定
202400451,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,通过,周建军,材料齐全，同意认定
202400452,汽车工程学院学生会,学生会组织,部长,2024-09-01,2025-09-01,驳回,周建军,认定依据不足，请补充说明材料
202400454,能动2401班,班团委,文艺委员,2024-09-01,2025-09-01,通过,周建军,符合认定条件，通过
202400455,智能汽车协会,科技类社团,成员,2024-09-01,2025-09-01,通过,周建军,符合认定条件，通过
202400456,能动2401班,班团委,文艺委员,2024-09-01,2025-09-01,待审核,,
202400457,智能汽车协会,科技类社团,成员,2024-09-01,2025-09-01,通过,周建军,佐证材料完整，予以通过
202400458,智能汽车协会,科技类社团,技术负责人,2024-09-01,2025-09-01,通过,周建军,符合认定条件，通过
202400460,校学生会,学生会组织,部长,2024-09-01,2025-09-01,通过,周建军,符合认定条件，通过
202400465,能动2401班,班团委,学习委员,2024-09-01,2025-09-01,通过,周建军,佐证材料完整，予以通过
202400467,校学生会,学生会组织,部长,2024-09-01,2025-09-01,驳回,周建军,材料不完整，请补充佐证后重新提交
202400473,校学生会,学生会组织,干事,2024-09-01,2025-09-01,驳回,周建军,盖章缺失，请重新上传完整材料
202400476,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,待审核,,
202400477,汽车工程学院学生会,学生会组织,干事,2024-09-01,2025-09-01,通过,周建军,佐证材料完整，予以通过
202400478,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,通过,周建军,材料齐全，同意认定
202400479,智能汽车协会,科技类社团,副社长,2024-09-01,2025-09-01,通过,周建军,符合认定条件，通过
202400480,智能汽车协会,科技类社团,副社长,2024-09-01,2025-09-01,待审核,,
202400481,智能汽车协会,科技类社团,副社长,2024-09-01,2025-09-01,驳回,周建军,盖章缺失，请重新上传完整材料
202400482,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,待审核,,
202400486,智能汽车协会,科技类社团,副社长,2024-09-01,2025-09-01,通过,周建军,材料齐全，同意认定
202400489,能动2402班,班团委,文艺委员,2024-09-01,2025-09-01,通过,周建军,符合认定条件，通过
202400495,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,待审核,,
202400499,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,通过,周建军,符合认定条件，通过
202400500,能动2402班,班团委,文艺委员,2024-09-01,2025-09-01,通过,周建军,佐证材料完整，予以通过
202400501,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,通过,周建军,佐证材料完整，予以通过
202400505,汽车工程学院学生会,学生会组织,干事,2024-09-01,2025-09-01,通过,孙丽华,符合认定条件，通过
202400506,智能汽车协会,科技类社团,副社长,2024-09-01,2025-09-01,待审核,,
202400508,汽车工程学院学生会,学生会组织,部长,2024-09-01,2025-09-01,通过,孙丽华,材料齐全，同意认定
202400510,校学生会,学生会组织,主席团,2024-09-01,2025-09-01,通过,孙丽华,材料齐全，同意认定
202400512,汽车工程学院学生会,学生会组织,干事,2024-09-01,2025-09-01,待审核,,
202400513,校学生会,学生会组织,主席团,2024-09-01,2025-09-01,通过,孙丽华,佐证材料完整，予以通过
202400514,校学生会,学生会组织,主席团,2024-09-01,2025-09-01,通过,孙丽华,佐证材料完整，予以通过
202400516,汽车工程学院学生会,学生会组织,部长,2024-09-01,2025-09-01,待审核,,
202400517,FSAE方程式赛车队,科技类社团,队长,2024-09-01,2025-09-01,驳回,孙丽华,认定依据不足，请补充说明材料
202400518,汽车工程学院学生会,学生会组织,干事,2024-09-01,2025-09-01,通过,孙丽华,符合认定条件，通过
202400519,校学生会,学生会组织,干事,2024-09-01,2025-09-01,待审核,,
202400520,校学生会,学生会组织,主席团,2024-09-01,2025-09-01,通过,孙丽华,符合认定条件，通过
202400521,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,驳回,孙丽华,材料不完整，请补充佐证后重新提交
202400522,汽车工程学院学生会,学生会组织,部长,2024-09-01,2025-09-01,通过,孙丽华,佐证材料完整，予以通过
202400525,机电2401班,班团委,团支书,2024-09-01,2025-09-01,通过,孙丽华,材料齐全，同意认定
202400527,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,通过,孙丽华,材料齐全，同意认定
202400529,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,通过,孙丽华,佐证材料完整，予以通过
202400531,FSAE方程式赛车队,科技类社团,队长,2024-09-01,2025-09-01,通过,孙丽华,佐证材料完整，予以通过
202400534,机电2401班,班团委,团支书,2024-09-01,2025-09-01,通过,孙丽华,材料齐全，同意认定
202400535,机电2401班,班团委,学习委员,2024-09-01,2025-09-01,通过,孙丽华,材料齐全，同意认定
202400536,智能汽车协会,科技类社团,技术负责人,2024-09-01,2025-09-01,通过,孙丽华,符合认定条件，通过
202400537,机电2401班,班团委,班长,2024-09-01,2025-09-01,通过,孙丽华,佐证材料完整，予以通过
202400539,智能汽车协会,科技类社团,技术负责人,2024-09-01,2025-09-01,待审核,,
202400540,智能汽车协会,科技类社团,技术负责人,2024-09-01,2025-09-01,驳回,孙丽华,时间信息有误，请核对后重新提交
202400541,校辩论队,文艺体育社团,成员,2024-09-01,2025-09-01,通过,孙丽华,材料齐全，同意认定
202400542,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,通过,孙丽华,佐证材料完整，予以通过
202400547,机电2402班,班团委,团支书,2024-09-01,2025-09-01,待审核,,
202400548,汽车工程学院学生会,学生会组织,干事,2024-09-01,2025-09-01,通过,孙丽华,符合认定条件，通过
202400550,汽车工程学院学生会,学生会组织,部长,2024-09-01,2025-09-01,通过,孙丽华,佐证材料完整，予以通过
202400551,FSAE方程式赛车队,科技类社团,队长,2024-09-01,2025-09-01,公示中,孙丽华,符合认定条件，通过
202400553,智能汽车协会,科技类社团,副社长,2024-09-01,2025-09-01,通过,孙丽华,材料齐全，同意认定
202400555,校学生会,学生会组织,部长,2024-09-01,2025-09-01,驳回,孙丽华,时间信息有误，请核对后重新提交
202400556,智能汽车协会,科技类社团,技术负责人,2024-09-01,2025-09-01,通过,孙丽华,材料齐全，同意认定
202400557,机电2402班,班团委,学习委员,2024-09-01,2025-09-01,通过,孙丽华,佐证材料完整，予以通过
202400560,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,通过,孙丽华,材料齐全，同意认定
202400561,智能汽车协会,科技类社团,副社长,2024-09-01,2025-09-01,通过,孙丽华,材料齐全，同意认定
202400562,机电2402班,班团委,体育委员,2024-09-01,2025-09-01,通过,孙丽华,佐证材料完整，予以通过
202400564,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,待审核,,
202400565,校辩论队,文艺体育社团,成员,2024-09-01,2025-09-01,通过,孙丽华,佐证材料完整，予以通过
202400567,校学生会,学生会组织,主席团,2024-09-01,2025-09-01,通过,孙丽华,材料齐全，同意认定
202400568,智能汽车协会,科技类社团,技术负责人,2024-09-01,2025-09-01,驳回,孙丽华,盖章缺失，请重新上传完整材料
202400570,校学生会,学生会组织,部长,2024-09-01,2025-09-01,通过,孙丽华,材料齐全，同意认定
202400577,交通2401班,班团委,班长,2024-09-01,2025-09-01,通过,钱雅琴,符合认定条件，通过
202400578,汽车工程学院学生会,学生会组织,干事,2024-09-01,2025-09-01,通过,钱雅琴,材料齐全，同意认定
202400579,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,通过,钱雅琴,佐证材料完整，予以通过
202400583,智能汽车协会,科技类社团,成员,2024-09-01,2025-09-01,通过,钱雅琴,符合认定条件，通过
202400584,FSAE方程式赛车队,科技类社团,队长,2024-09-01,2025-09-01,驳回,钱雅琴,认定依据不足，请补充说明材料
202400588,智能汽车协会,科技类社团,成员,2024-09-01,2025-09-01,通过,钱雅琴,符合认定条件，通过
202400589,校学生会,学生会组织,部长,2024-09-01,2025-09-01,驳回,钱雅琴,盖章缺失，请重新上传完整材料
202400590,交通2401班,班团委,学习委员,2024-09-01,2025-09-01,通过,钱雅琴,佐证材料完整，予以通过
202400592,交通2401班,班团委,体育委员,2024-09-01,2025-09-01,通过,钱雅琴,符合认定条件，通过
202400593,汽车工程学院学生会,学生会组织,部长,2024-09-01,2025-09-01,驳回,钱雅琴,材料不完整，请补充佐证后重新提交
202400595,交通2401班,班团委,团支书,2024-09-01,2025-09-01,通过,钱雅琴,符合认定条件，通过
202400596,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,驳回,钱雅琴,盖章缺失，请重新上传完整材料
202400598,智能汽车协会,科技类社团,技术负责人,2024-09-01,2025-09-01,通过,钱雅琴,材料齐全，同意认定
202400600,校学生会,学生会组织,干事,2024-09-01,2025-09-01,通过,钱雅琴,佐证材料完整，予以通过
202500602,车辆2501班,班团委,班长,2025-09-01,2026-09-01,通过,陈晓宇,符合认定条件，通过
202500611,智能汽车协会,科技类社团,副社长,2025-09-01,2026-09-01,通过,陈晓宇,佐证材料完整，予以通过
202500616,智能汽车协会,科技类社团,副社长,2025-09-01,2026-09-01,驳回,陈晓宇,认定依据不足，请补充说明材料
202500617,校篮球协会,文艺体育社团,成员,2025-09-01,2026-09-01,驳回,陈晓宇,盖章缺失，请重新上传完整材料
202500632,车辆2501班,班团委,团支书,2025-09-01,2026-09-01,驳回,陈晓宇,时间信息有误，请核对后重新提交
202500635,校篮球协会,文艺体育社团,成员,2025-09-01,2026-09-01,通过,陈晓宇,符合认定条件，通过
202500638,车辆2502班,班团委,体育委员,2025-09-01,2026-09-01,待审核,,
202500639,校学生会,学生会组织,主席团,2025-09-01,2026-09-01,通过,陈晓宇,符合认定条件，通过
202500645,汽车工程学院学生会,学生会组织,部长,2025-09-01,2026-09-01,驳回,陈晓宇,认定依据不足，请补充说明材料
202500651,车辆2502班,班团委,学习委员,2025-09-01,2026-09-01,驳回,陈晓宇,认定依据不足，请补充说明材料
202500653,车辆2502班,班团委,文艺委员,2025-09-01,2026-09-01,通过,陈晓宇,符合认定条件，通过
202500655,FSAE方程式赛车队,科技类社团,技术负责人,2025-09-01,2026-09-01,驳回,陈晓宇,时间信息有误，请核对后重新提交
202500661,车辆2502班,班团委,团支书,2025-09-01,2026-09-01,待审核,,
202500665,校辩论队,文艺体育社团,成员,2025-09-01,2026-09-01,通过,陈晓宇,佐证材料完整，予以通过
202500668,校辩论队,文艺体育社团,成员,2025-09-01,2026-09-01,通过,陈晓宇,佐证材料完整，予以通过
202500674,车辆2503班,班团委,团支书,2025-09-01,2026-09-01,通过,陈晓宇,材料齐全，同意认定
202500676,车辆2503班,班团委,团支书,2025-09-01,2026-09-01,待审核,,
202500679,校篮球协会,文艺体育社团,成员,2025-09-01,2026-09-01,待审核,,
202500682,汽车工程学院学生会,学生会组织,部长,2025-09-01,2026-09-01,通过,陈晓宇,符合认定条件，通过
202500685,FSAE方程式赛车队,科技类社团,成员,2025-09-01,2026-09-01,驳回,陈晓宇,材料不完整，请补充佐证后重新提交
202500688,校学生会,学生会组织,干事,2025-09-01,2026-09-01,待审核,,
202500689,车辆2503班,班团委,体育委员,2025-09-01,2026-09-01,通过,陈晓宇,材料齐全，同意认定
202500692,车辆2503班,班团委,文艺委员,2025-09-01,2026-09-01,通过,陈晓宇,佐证材料完整，予以通过
202500693,校学生会,学生会组织,干事,2025-09-01,2026-09-01,通过,陈晓宇,材料齐全，同意认定
202500695,智能汽车协会,科技类社团,副社长,2025-09-01,2026-09-01,待审核,,
202500702,智能汽车协会,科技类社团,副社长,2025-09-01,2026-09-01,驳回,陈晓宇,认定依据不足，请补充说明材料
202500705,FSAE方程式赛车队,科技类社团,队长,2025-09-01,2026-09-01,待审核,,
202500707,车辆2504班,班团委,文艺委员,2025-09-01,2026-09-01,驳回,陈晓宇,时间信息有误，请核对后重新提交
202500709,校学生会,学生会组织,干事,2025-09-01,2026-09-01,驳回,陈晓宇,认定依据不足，请补充说明材料
202500710,校辩论队,文艺体育社团,成员,2025-09-01,2026-09-01,通过,陈晓宇,佐证材料完整，予以通过
202500711,车辆2504班,班团委,班长,2025-09-01,2026-09-01,驳回,陈晓宇,材料不完整，请补充佐证后重新提交
202500713,智能汽车协会,科技类社团,成员,2025-09-01,2026-09-01,驳回,陈晓宇,盖章缺失，请重新上传完整材料
202500714,车辆2504班,班团委,学习委员,2025-09-01,2026-09-01,驳回,陈晓宇,时间信息有误，请核对后重新提交
202500715,智能汽车协会,科技类社团,成员,2025-09-01,2026-09-01,待审核,,
202500720,车辆2504班,班团委,团支书,2025-09-01,2026-09-01,通过,陈晓宇,材料齐全，同意认定
202500724,FSAE方程式赛车队,科技类社团,技术负责人,2025-09-01,2026-09-01,待审核,,
202500729,FSAE方程式赛车队,科技类社团,队长,2025-09-01,2026-09-01,待审核,,
202500734,校辩论队,文艺体育社团,成员,2025-09-01,2026-09-01,驳回,陈晓宇,时间信息有误，请核对后重新提交
202500740,能动2501班,班团委,学习委员,2025-09-01,2026-09-01,待审核,,
202500745,能动2501班,班团委,班长,2025-09-01,2026-09-01,通过,吴敏,佐证材料完整，予以通过
202500748,校辩论队,文艺体育社团,成员,2025-09-01,2026-09-01,通过,吴敏,材料齐全，同意认定
202500756,FSAE方程式赛车队,科技类社团,技术负责人,2025-09-01,2026-09-01,驳回,吴敏,材料不完整，请补充佐证后重新提交
202500760,能动2501班,班团委,班长,2025-09-01,2026-09-01,通过,吴敏,佐证材料完整，予以通过
202500764,能动2501班,班团委,团支书,2025-09-01,2026-09-01,通过,吴敏,符合认定条件，通过
202500765,能动2501班,班团委,文艺委员,2025-09-01,2026-09-01,通过,吴敏,佐证材料完整，予以通过
202500770,校辩论队,文艺体育社团,成员,2025-09-01,2026-09-01,待审核,,
202500777,FSAE方程式赛车队,科技类社团,成员,2025-09-01,2026-09-01,驳回,吴敏,盖章缺失，请重新上传完整材料
202500779,智能汽车协会,科技类社团,成员,2025-09-01,2026-09-01,通过,吴敏,佐证材料完整，予以通过
202500780,校学生会,学生会组织,部长,2025-09-01,2026-09-01,通过,吴敏,佐证材料完整，予以通过
202500782,校学生会,学生会组织,部长,2025-09-01,2026-09-01,通过,吴敏,佐证材料完整，予以通过
202500785,FSAE方程式赛车队,科技类社团,技术负责人,2025-09-01,2026-09-01,通过,吴敏,佐证材料完整，予以通过
202500793,校学生会,学生会组织,主席团,2025-09-01,2026-09-01,待审核,,
202500794,FSAE方程式赛车队,科技类社团,技术负责人,2025-09-01,2026-09-01,通过,吴敏,材料齐全，同意认定
202500799,校辩论队,文艺体育社团,成员,2025-09-01,2026-09-01,通过,吴敏,符合认定条件，通过
202500800,智能汽车协会,科技类社团,成员,2025-09-01,2026-09-01,待审核,,
202500802,能动2502班,班团委,班长,2025-09-01,2026-09-01,通过,吴敏,符合认定条件，通过
202500803,校篮球协会,文艺体育社团,成员,2025-09-01,2026-09-01,通过,吴敏,材料齐全，同意认定
202500804,汽车工程学院学生会,学生会组织,干事,2025-09-01,2026-09-01,驳回,吴敏,认定依据不足，请补充说明材料
202500806,校学生会,学生会组织,部长,2025-09-01,2026-09-01,通过,杨光辉,佐证材料完整，予以通过
202500807,机电2501班,班团委,团支书,2025-09-01,2026-09-01,通过,杨光辉,符合认定条件，通过
202500817,汽车工程学院学生会,学生会组织,干事,2025-09-01,2026-09-01,通过,杨光辉,符合认定条件，通过
202500822,校篮球协会,文艺体育社团,成员,2025-09-01,2026-09-01,通过,杨光辉,材料齐全，同意认定
202500824,智能汽车协会,科技类社团,副社长,2025-09-01,2026-09-01,驳回,杨光辉,时间信息有误，请核对后重新提交
202500825,FSAE方程式赛车队,科技类社团,技术负责人,2025-09-01,2026-09-01,通过,杨光辉,材料齐全，同意认定
202500826,汽车工程学院学生会,学生会组织,部长,2025-09-01,2026-09-01,驳回,杨光辉,盖章缺失，请重新上传完整材料
202500832,校学生会,学生会组织,主席团,2025-09-01,2026-09-01,待审核,,
202500833,智能汽车协会,科技类社团,副社长,2025-09-01,2026-09-01,通过,杨光辉,符合认定条件，通过
202500834,机电2501班,班团委,班长,2025-09-01,2026-09-01,驳回,杨光辉,认定依据不足，请补充说明材料
202500836,校学生会,学生会组织,主席团,2025-09-01,2026-09-01,公示中,杨光辉,材料齐全，同意认定
202500843,校辩论队,文艺体育社团,成员,2025-09-01,2026-09-01,驳回,杨光辉,材料不完整，请补充佐证后重新提交
202500849,校辩论队,文艺体育社团,成员,2025-09-01,2026-09-01,通过,杨光辉,材料齐全，同意认定
202500851,机电2502班,班团委,班长,2025-09-01,2026-09-01,驳回,杨光辉,认定依据不足，请补充说明材料
202500852,机电2502班,班团委,团支书,2025-09-01,2026-09-01,通过,杨光辉,材料齐全，同意认定
202500853,汽车工程学院学生会,学生会组织,部长,2025-09-01,2026-09-01,通过,杨光辉,材料齐全，同意认定
202500858,智能汽车协会,科技类社团,副社长,2025-09-01,2026-09-01,通过,杨光辉,佐证材料完整，予以通过
202500860,机电2502班,班团委,团支书,2025-09-01,2026-09-01,通过,杨光辉,符合认定条件，通过
202500865,机电2502班,班团委,学习委员,2025-09-01,2026-09-01,驳回,杨光辉,时间信息有误，请核对后重新提交
202500870,校辩论队,文艺体育社团,成员,2025-09-01,2026-09-01,驳回,杨光辉,盖章缺失，请重新上传完整材料
202500871,汽车工程学院学生会,学生会组织,部长,2025-09-01,2026-09-01,驳回,蒋明辉,认定依据不足，请补充说明材料
202500879,校辩论队,文艺体育社团,成员,2025-09-01,2026-09-01,通过,蒋明辉,符合认定条件，通过
202500883,校学生会,学生会组织,部长,2025-09-01,2026-09-01,待审核,,
202500887,交通2501班,班团委,团支书,2025-09-01,2026-09-01,驳回,蒋明辉,时间信息有误，请核对后重新提交
202500889,智能汽车协会,科技类社团,技术负责人,2025-09-01,2026-09-01,驳回,蒋明辉,时间信息有误，请核对后重新提交
202500893,校篮球协会,文艺体育社团,成员,2025-09-01,2026-09-01,通过,蒋明辉,材料齐全，同意认定
202500894,交通2501班,班团委,文艺委员,2025-09-01,2026-09-01,通过,蒋明辉,符合认定条件，通过
202500895,FSAE方程式赛车队,科技类社团,技术负责人,2025-09-01,2026-09-01,公示中,蒋明辉,佐证材料完整，予以通过
202500896,交通2501班,班团委,团支书,2025-09-01,2026-09-01,通过,蒋明辉,符合认定条件，通过
202500899,校篮球协会,文艺体育社团,成员,2025-09-01,2026-09-01,通过,蒋明辉,材料齐全，同意认定
202600908,校学生会,学生会组织,主席团,2026-09-01,2027-09-01,驳回,赵倩,认定依据不足，请补充说明材料
202600913,校辩论队,文艺体育社团,成员,2026-09-01,2027-09-01,驳回,赵倩,时间信息有误，请核对后重新提交
202600922,智能汽车协会,科技类社团,技术负责人,2026-09-01,2027-09-01,驳回,赵倩,时间信息有误，请核对后重新提交
202600924,FSAE方程式赛车队,科技类社团,队长,2026-09-01,2027-09-01,驳回,赵倩,时间信息有误，请核对后重新提交
202600935,智能汽车协会,科技类社团,技术负责人,2026-09-01,2027-09-01,通过,赵倩,材料齐全，同意认定
202600977,汽车工程学院学生会,学生会组织,部长,2026-09-01,2027-09-01,驳回,赵倩,时间信息有误，请核对后重新提交
202600986,校辩论队,文艺体育社团,成员,2026-09-01,2027-09-01,驳回,赵倩,认定依据不足，请补充说明材料
202601012,车辆2604班,班团委,学习委员,2026-09-01,2027-09-01,待审核,,
202601025,校篮球协会,文艺体育社团,成员,2026-09-01,2027-09-01,驳回,赵倩,材料不完整，请补充佐证后重新提交
202601054,校辩论队,文艺体育社团,成员,2026-09-01,2027-09-01,驳回,郑立群,盖章缺失，请重新上传完整材料
202601085,FSAE方程式赛车队,科技类社团,技术负责人,2026-09-01,2027-09-01,通过,郑立群,符合认定条件，通过
202601087,能动2602班,班团委,学习委员,2026-09-01,2027-09-01,通过,郑立群,材料齐全，同意认定
202601109,FSAE方程式赛车队,科技类社团,队长,2026-09-01,2027-09-01,通过,冯晓梅,符合认定条件，通过
202601125,校辩论队,文艺体育社团,成员,2026-09-01,2027-09-01,通过,冯晓梅,佐证材料完整，予以通过
202601126,机电2601班,班团委,学习委员,2026-09-01,2027-09-01,驳回,冯晓梅,认定依据不足，请补充说明材料
202601160,汽车工程学院学生会,学生会组织,部长,2026-09-01,2027-09-01,驳回,冯晓梅,认定依据不足，请补充说明材料
202601184,智能汽车协会,科技类社团,成员,2026-09-01,2027-09-01,驳回,沈国栋,盖章缺失，请重新上传完整材料
202601199,交通2601班,班团委,体育委员,2026-09-01,2027-09-01,待审核,,
