学号,团队名称,类型,主题,主办单位,开始日期,结束日期,状态,审核人,审核意见
202300149,赴烟台关爱留守实践团,企业实习实践,关爱留守儿童,汽车工程学院,2024-07-01,2024-07-16,通过,王海燕,佐证材料完整，予以通过
202300149,赴淄博社区志愿实践团,返家乡实践,社区志愿服务,威海团市委,2025-07-01,2025-07-28,通过,王海燕,佐证材料完整，予以通过
202300150,赴淄博黄河流域实践团,企业实习实践,黄河流域生态考察,校团委,2024-07-05,2024-07-26,通过,王海燕,佐证材料完整，予以通过
202300150,赴临沂社区志愿实践团,校级重点团队,社区志愿服务,汽车工程学院,2025-07-10,2025-07-24,公示中,王海燕,材料齐全，同意认定
202300151,赴威海社区志愿实践团,自主实践团队,社区志愿服务,校团委,2024-07-03,2024-07-28,通过,王海燕,符合认定条件，通过
202300151,赴烟台乡村振兴实践团,自主实践团队,乡村振兴调研,威海团市委,2025-07-04,2025-07-24,通过,王海燕,佐证材料完整，予以通过
202300152,赴淄博黄河流域实践团,自主实践团队,黄河流域生态考察,威海团市委,2024-07-08,2024-07-26,通过,王海燕,材料齐全，同意认定
202300152,赴淄博科技支农实践团,返家乡实践,科技支农帮扶,威海团市委,2025-07-02,2025-07-25,通过,王海燕,佐证材料完整，予以通过
202300153,赴东营红色基因实践团,自主实践团队,红色基因传承,校团委,2024-07-07,2024-07-26,通过,王海燕,材料齐全，同意认定
202300153,赴济宁黄河流域实践团,院级重点团队,黄河流域生态考察,汽车工程学院,2025-07-05,2025-07-16,公示中,王海燕,材料齐全，同意认定
202300154,赴东营乡村振兴实践团,院级重点团队,乡村振兴调研,威海团市委,2024-07-09,2024-07-15,通过,王海燕,符合认定条件，通过
202300154,赴德州关爱留守实践团,自主实践团队,关爱留守儿童,威海团市委,2025-07-06,2025-07-17,通过,王海燕,材料齐全，同意认定
202300155,赴青岛黄河流域实践团,返家乡实践,黄河流域生态考察,汽车工程学院,2024-07-07,2024-07-15,通过,王海燕,佐证材料完整，予以通过
202300155,赴德州社区志愿实践团,返家乡实践,社区志愿服务,威海团市委,2025-07-06,2025-07-17,通过,王海燕,材料齐全，同意认定
202300156,赴东营汽车产业实践团,院级重点团队,汽车产业链调研,校团委,2024-07-01,2024-07-26,通过,王海燕,材料齐全，同意认定
202300156,赴威海社区志愿实践团,自主实践团队,社区志愿服务,校团委,2025-07-04,2025-07-26,通过,王海燕,佐证材料完整，予以通过
202300157,赴泰安企业走访实践团,院级重点团队,企业走访见习,威海团市委,2024-07-09,2024-07-26,待审核,,
202300157,赴潍坊黄河流域实践团,院级重点团队,黄河流域生态考察,威海团市委,2025-07-08,2025-07-27,通过,王海燕,符合认定条件，通过
202300158,赴潍坊社区志愿实践团,自主实践团队,社区志愿服务,威海团市委,2024-07-04,2024-07-21,通过,王海燕,材料齐全，同意认定
202300158,赴青岛乡村振兴实践团,自主实践团队,乡村振兴调研,校团委,2025-07-03,2025-07-26,通过,王海燕,符合认定条件，通过
202300159,赴日照红色基地实践团,返家乡实践,红色基地研学,校团委,2024-07-06,2024-07-25,待审核,,
202300159,赴聊城红色基因实践团,返家乡实践,红色基因传承,校团委,2025-07-07,2025-07-22,通过,王海燕,材料齐全，同意认定
202300160,赴枣庄乡村振兴实践团,企业实习实践,乡村振兴调研,威海团市委,2024-07-08,2024-07-27,通过,王海燕,材料齐全，同意认定
202300160,赴青岛企业走访实践团,校级重点团队,企业走访见习,威海团市委,2025-07-03,2025-07-27,通过,王海燕,符合认定条件，通过
202300161,赴枣庄红色基地实践团,校级重点团队,红色基地研学,威海团市委,2024-07-01,2024-07-21,通过,王海燕,符合认定条件，通过
202300161,赴泰安乡村振兴实践团,自主实践团队,乡村振兴调研,威海团市委,2025-07-10,2025-07-24,待审核,,
202300162,赴东营红色基因实践团,自主实践团队,红色基因传承,威海团市委,2024-07-02,2024-07-21,待审核,,
202300162,赴烟台海洋生态实践团,返家乡实践,海洋生态保护宣传,威海团市委,2025-07-07,2025-07-16,通过,王海燕,材料齐全，同意认定
202300163,赴青岛黄河流域实践团,企业实习实践,黄河流域生态考察,校团委,2024-07-02,2024-07-28,待审核,,
202300163,赴泰安汽车产业实践团,返家乡实践,汽车产业链调研,威海团市委,2025-07-08,2025-07-19,通过,王海燕,材料齐全，同意认定
202300164,赴济南黄河流域实践团,自主实践团队,黄河流域生态考察,威海团市委,2024-07-08,2024-07-25,通过,王海燕,佐证材料完整，予以通过
202300164,赴青岛红色基地实践团,企业实习实践,红色基地研学,威海团市委,2025-07-08,2025-07-26,通过,王海燕,符合认定条件，通过
202300165,赴泰安黄河流域实践团,企业实习实践,黄河流域生态考察,汽车工程学院,2024-07-05,2024-07-23,通过,王海燕,佐证材料完整，予以通过
202300165,赴日照企业走访实践团,企业实习实践,企业走访见习,校团委,2025-07-02,2025-07-22,通过,王海燕,符合认定条件，通过
202300166,赴泰安科技支农实践团,院级重点团队,科技支农帮扶,校团委,2024-07-03,2024-07-28,通过,王海燕,符合认定条件，通过
202300166,赴威海关爱留守实践团,企业实习实践,关爱留守儿童,汽车工程学院,2025-07-05,2025-07-26,通过,王海燕,佐证材料完整，予以通过
202300167,赴东营汽车产业实践团,校级重点团队,汽车产业链调研,威海团市委,2024-07-08,2024-07-23,通过,王海燕,材料齐全，同意认定
202300167,赴烟台乡村振兴实践团,返家乡实践,乡村振兴调研,威海团市委,2025-07-01,2025-07-21,通过,王海燕,材料齐全，同意认定
202300168,赴潍坊关爱留守实践团,自主实践团队,关爱留守儿童,校团委,2024-07-06,2024-07-27,通过,王海燕,材料齐全，同意认定
202300168,赴济南海洋生态实践团,院级重点团队,海洋生态保护宣传,校团委,2025-07-06,2025-07-26,通过,王海燕,佐证材料完整，予以通过
202300169,赴济宁海洋生态实践团,院级重点团队,海洋生态保护宣传,威海团市委,2024-07-10,2024-07-22,待审核,,
202300169,赴青岛红色基地实践团,自主实践团队,红色基地研学,威海团市委,2025-07-01,2025-07-17,通过,王海燕,材料齐全，同意认定
202300170,赴聊城红色基地实践团,校级重点团队,红色基地研学,威海团市委,2024-07-02,2024-07-20,通过,王海燕,佐证材料完整，予以通过
202300170,赴泰安关爱留守实践团,院级重点团队,关爱留守儿童,威海团市委,2025-07-06,2025-07-15,通过,王海燕,符合认定条件，通过
202300171,赴济南社区志愿实践团,企业实习实践,社区志愿服务,威海团市委,2024-07-07,2024-07-19,通过,王海燕,材料齐全，同意认定
202300171,赴东营乡村振兴实践团,自主实践团队,乡村振兴调研,威海团市委,2025-07-02,2025-07-17,通过,王海燕,符合认定条件，通过
202300172,赴枣庄黄河流域实践团,校级重点团队,黄河流域生态考察,校团委,2024-07-05,2024-07-16,通过,王海燕,佐证材料完整，予以通过
202300172,赴济宁乡村振兴实践团,返家乡实践,乡村振兴调研,校团委,2025-07-02,2025-07-23,通过,王海燕,符合认定条件，通过
202300173,赴泰安乡村振兴实践团,院级重点团队,乡村振兴调研,威海团市委,2024-07-05,2024-07-22,通过,王海燕,材料齐全，同意认定
202300173,赴济南红色基因实践团,企业实习实践,红色基因传承,威海团市委,2025-07-06,2025-07-23,通过,王海燕,材料齐全，同意认定
202300174,赴潍坊科技支农实践团,校级重点团队,科技支农帮扶,威海团市委,2024-07-01,2024-07-26,通过,王海燕,佐证材料完整，予以通过
202300174,赴淄博红色基因实践团,校级重点团队,红色基因传承,威海团市委,2025-07-08,2025-07-16,待审核,,
202300175,赴日照企业走访实践团,校级重点团队,企业走访见习,汽车工程学院,2024-07-09,2024-07-15,通过,王海燕,符合认定条件，通过
202300175,赴泰安社区志愿实践团,院级重点团队,社区志愿服务,汽车工程学院,2025-07-10,2025-07-28,通过,王海燕,佐证材料完整，予以通过
202300176,赴烟台关爱留守实践团,院级重点团队,关爱留守儿童,校团委,2024-07-08,2024-07-24,通过,王海燕,佐证材料完整，予以通过
202300176,赴济南海洋生态实践团,校级重点团队,海洋生态保护宣传,校团委,2025-07-08,2025-07-28,通过,王海燕,佐证材料完整，予以通过
202300177,赴潍坊海洋生态实践团,校级重点团队,海洋生态保护宣传,威海团市委,2024-07-01,2024-07-18,通过,王海燕,佐证材料完整，予以通过
202300177,赴青岛汽车产业实践团,校级重点团队,汽车产业链调研,校团委,2025-07-02,2025-07-23,通过,王海燕,符合认定条件，通过
202300178,赴日照红色基因实践团,返家乡实践,红色基因传承,威海团市委,2024-07-02,2024-07-16,通过,王海燕,符合认定条件，通过
202300178,赴德州科技支农实践团,校级重点团队,科技支农帮扶,威海团市委,2025-07-10,2025-07-26,通过,王海燕,材料齐全，同意认定
202300179,赴日照关爱留守实践团,企业实习实践,关爱留守儿童,威海团市委,2024-07-04,2024-07-28,通过,王海燕,佐证材料完整，予以通过
202300179,赴潍坊企业走访实践团,自主实践团队,企业走访见习,校团委,2025-07-04,2025-07-26,通过,王海燕,符合认定条件，通过
202300180,赴泰安红色基地实践团,校级重点团队,红色基地研学,校团委,2024-07-09,2024-07-18,通过,王海燕,佐证材料完整，予以通过
202300180,赴日照红色基因实践团,院级重点团队,红色基因传承,威海团市委,2025-07-06,2025-07-20,待审核,,
202300181,赴日照社区志愿实践团,院级重点团队,社区志愿服务,威海团市委,2024-07-08,2024-07-22,通过,王海燕,材料齐全，同意认定
202300181,赴济宁社区志愿实践团,院级重点团队,社区志愿服务,校团委,2025-07-02,2025-07-18,通过,王海燕,佐证材料完整，予以通过
202300182,赴临沂海洋生态实践团,自主实践团队,海洋生态保护宣传,威海团市委,2024-07-02,2024-07-18,通过,王海燕,材料齐全，同意认定
202300182,赴威海科技支农实践团,院级重点团队,科技支农帮扶,威海团市委,2025-07-09,2025-07-17,通过,王海燕,符合认定条件，通过
202300183,赴烟台关爱留守实践团,自主实践团队,关爱留守儿童,威海团市委,2024-07-09,2024-07-27,通过,王海燕,佐证材料完整，予以通过
202300183,赴淄博企业走访实践团,返家乡实践,企业走访见习,校团委,2025-07-02,2025-07-16,通过,王海燕,材料齐全，同意认定
202300184,赴济宁红色基因实践团,自主实践团队,红色基因传承,校团委,2024-07-07,2024-07-21,待审核,,
202300184,赴潍坊汽车产业实践团,自主实践团队,汽车产业链调研,威海团市委,2025-07-08,2025-07-18,通过,王海燕,佐证材料完整，予以通过
202300185,赴聊城乡村振兴实践团,院级重点团队,乡村振兴调研,汽车工程学院,2024-07-04,2024-07-22,通过,王海燕,符合认定条件，通过
202300185,赴威海企业走访实践团,校级重点团队,企业走访见习,汽车工程学院,2025-07-03,2025-07-19,通过,王海燕,佐证材料完整，予以通过
202300186,赴泰安海洋生态实践团,校级重点团队,海洋生态保护宣传,威海团市委,2024-07-08,2024-07-25,通过,王海燕,材料齐全，同意认定
202300186,赴青岛关爱留守实践团,自主实践团队,关爱留守儿童,校团委,2025-07-08,2025-07-25,通过,王海燕,材料齐全，同意认定
202300187,赴潍坊红色基因实践团,返家乡实践,红色基因传承,校团委,2024-07-10,2024-07-21,通过,王海燕,符合认定条件，通过
202300187,赴聊城关爱留守实践团,校级重点团队,关爱留守儿童,威海团市委,2025-07-04,2025-07-20,待审核,,
202300188,赴淄博黄河流域实践团,企业实习实践,黄河流域生态考察,校团委,2024-07-09,2024-07-19,通过,王海燕,材料齐全，同意认定
202300188,赴青岛社区志愿实践团,返家乡实践,社区志愿服务,校团委,2025-07-08,2025-07-28,通过,王海燕,材料齐全，同意认定
202300189,赴济南关爱留守实践团,企业实习实践,关爱留守儿童,威海团市委,2024-07-03,2024-07-19,通过,王海燕,佐证材料完整，予以通过
202300189,赴济宁黄河流域实践团,自主实践团队,黄河流域生态考察,汽车工程学院,2025-07-04,2025-07-23,通过,王海燕,符合认定条件，通过
202300190,赴德州企业走访实践团,企业实习实践,企业走访见习,校团委,2024-07-07,2024-07-17,通过,王海燕,佐证材料完整，予以通过
202300190,赴枣庄黄河流域实践团,校级重点团队,黄河流域生态考察,校团委,2025-07-09,2025-07-28,通过,王海燕,符合认定条件，通过
202300191,赴青岛汽车产业实践团,校级重点团队,汽车产业链调研,校团委,2024-07-07,2024-07-27,通过,王海燕,材料齐全，同意认定
202300191,赴枣庄科技支农实践团,院级重点团队,科技支农帮扶,威海团市委,2025-07-06,2025-07-15,通过,王海燕,符合认定条件，通过
202300192,赴济宁汽车产业实践团,院级重点团队,汽车产业链调研,威海团市委,2024-07-03,2024-07-27,通过,王海燕,佐证材料完整，予以通过
202300192,赴青岛黄河流域实践团,校级重点团队,黄河流域生态考察,校团委,2025-07-08,2025-07-21,通过,王海燕,佐证材料完整，予以通过
202300193,赴东营社区志愿实践团,自主实践团队,社区志愿服务,校团委,2024-07-01,2024-07-21,通过,王海燕,符合认定条件，通过
202300193,赴淄博乡村振兴实践团,校级重点团队,乡村振兴调研,汽车工程学院,2025-07-03,2025-07-17,通过,王海燕,符合认定条件，通过
202300194,赴淄博汽车产业实践团,校级重点团队,汽车产业链调研,威海团市委,2024-07-02,2024-07-16,通过,王海燕,材料齐全，同意认定
202300194,赴潍坊海洋生态实践团,校级重点团队,海洋生态保护宣传,汽车工程学院,2025-07-04,2025-07-22,通过,王海燕,佐证材料完整，予以通过
202300195,赴泰安黄河流域实践团,自主实践团队,黄河流域生态考察,校团委,2024-07-03,2024-07-28,通过,王海燕,佐证材料完整，予以通过
202300195,赴潍坊企业走访实践团,企业实习实践,企业走访见习,校团委,2025-07-02,2025-07-24,通过,王海燕,佐证材料完整，予以通过
202300196,赴济南关爱留守实践团,自主实践团队,关爱留守儿童,汽车工程学院,2024-07-07,2024-07-16,通过,王海燕,符合认定条件，通过
202300196,赴威海社区志愿实践团,返家乡实践,社区志愿服务,校团委,2025-07-08,2025-07-28,公示中,王海燕,佐证材料完整，予以通过
202300197,赴威海乡村振兴实践团,返家乡实践,乡村振兴调研,汽车工程学院,2024-07-05,2024-07-28,通过,王海燕,符合认定条件，通过
202300197,赴淄博海洋生态实践团,院级重点团队,海洋生态保护宣传,威海团市委,2025-07-06,2025-07-26,通过,王海燕,符合认定条件，通过
202300198,赴济宁红色基地实践团,返家乡实践,红色基地研学,威海团市委,2024-07-03,2024-07-23,通过,王海燕,佐证材料完整，予以通过
202300198,赴聊城科技支农实践团,院级重点团队,科技支农帮扶,汽车工程学院,2025-07-05,2025-07-24,通过,王海燕,佐证材料完整，予以通过
202300199,赴威海红色基地实践团,自主实践团队,红色基地研学,校团委,2024-07-05,2024-07-28,通过,王海燕,佐证材料完整，予以通过
202300199,赴临沂企业走访实践团,校级重点团队,企业走访见习,汽车工程学院,2025-07-04,2025-07-17,通过,王海燕,材料齐全，同意认定
202300200,赴济宁黄河流域实践团,校级重点团队,黄河流域生态考察,校团委,2024-07-05,2024-07-22,通过,王海燕,佐证材料完整，予以通过
202300200,赴济南关爱留守实践团,企业实习实践,关爱留守儿童,汽车工程学院,2025-07-03,2025-07-20,通过,王海燕,佐证材料完整，予以通过
202300201,赴威海红色基地实践团,校级重点团队,红色基地研学,校团委,2024-07-05,2024-07-20,通过,王海燕,佐证材料完整，予以通过
202300201,赴泰安黄河流域实践团,企业实习实践,黄河流域生态考察,威海团市委,2025-07-02,2025-07-16,通过,王海燕,材料齐全，同意认定
202300202,赴济宁关爱留守实践团,自主实践团队,关爱留守儿童,校团委,2024-07-07,2024-07-23,通过,王海燕,佐证材料完整，予以通过
202300202,赴淄博海洋生态实践团,返家乡实践,海洋生态保护宣传,威海团市委,2025-07-09,2025-07-28,通过,王海燕,材料齐全，同意认定
202300203,赴聊城科技支农实践团,院级重点团队,科技支农帮扶,威海团市委,2024-07-08,2024-07-26,通过,王海燕,符合认定条件，通过
202300203,赴东营红色基地实践团,返家乡实践,红色基地研学,汽车工程学院,2025-07-07,2025-07-25,通过,王海燕,符合认定条件，通过
202300204,赴临沂黄河流域实践团,企业实习实践,黄河流域生态考察,威海团市委,2024-07-01,2024-07-25,通过,王海燕,符合认定条件，通过
202300204,赴日照社区志愿实践团,院级重点团队,社区志愿服务,威海团市委,2025-07-09,2025-07-28,通过,王海燕,佐证材料完整，予以通过
202300205,赴东营海洋生态实践团,院级重点团队,海洋生态保护宣传,校团委,2024-07-08,2024-07-20,通过,刘志强,符合认定条件，通过
202300205,赴潍坊关爱留守实践团,校级重点团队,关爱留守儿童,汽车工程学院,2025-07-09,2025-07-23,通过,刘志强,佐证材料完整，予以通过
202300206,赴烟台科技支农实践团,校级重点团队,科技支农帮扶,校团委,2024-07-10,2024-07-28,通过,刘志强,符合认定条件，通过
202300206,赴枣庄乡村振兴实践团,返家乡实践,乡村振兴调研,校团委,2025-07-06,2025-07-25,通过,刘志强,佐证材料完整，予以通过
202300207,赴泰安海洋生态实践团,校级重点团队,海洋生态保护宣传,校团委,2024-07-06,2024-07-17,通过,刘志强,佐证材料完整，予以通过
202300207,赴潍坊海洋生态实践团,院级重点团队,海洋生态保护宣传,威海团市委,2025-07-03,2025-07-22,待审核,,
202300208,赴济南汽车产业实践团,院级重点团队,汽车产业链调研,校团委,2024-07-10,2024-07-21,通过,刘志强,佐证材料完整，予以通过
202300208,赴临沂黄河流域实践团,返家乡实践,黄河流域生态考察,汽车工程学院,2025-07-07,2025-07-18,公示中,刘志强,符合认定条件，通过
202300209,赴济宁红色基地实践团,企业实习实践,红色基地研学,汽车工程学院,2024-07-10,2024-07-15,通过,刘志强,符合认定条件，通过
202300209,赴泰安乡村振兴实践团,企业实习实践,乡村振兴调研,校团委,2025-07-02,2025-07-27,通过,刘志强,佐证材料完整，予以通过
202300210,赴威海汽车产业实践团,企业实习实践,汽车产业链调研,威海团市委,2024-07-07,2024-07-28,通过,刘志强,材料齐全，同意认定
202300210,赴潍坊关爱留守实践团,自主实践团队,关爱留守儿童,汽车工程学院,2025-07-07,2025-07-23,通过,刘志强,佐证材料完整，予以通过
202300211,赴烟台关爱留守实践团,校级重点团队,关爱留守儿童,校团委,2024-07-04,2024-07-26,通过,刘志强,佐证材料完整，予以通过
202300211,赴潍坊企业走访实践团,企业实习实践,企业走访见习,校团委,2025-07-06,2025-07-21,通过,刘志强,符合认定条件，通过
202300212,赴济南汽车产业实践团,自主实践团队,汽车产业链调研,校团委,2024-07-05,2024-07-26,通过,刘志强,佐证材料完整，予以通过
202300212,赴聊城海洋生态实践团,自主实践团队,海洋生态保护宣传,校团委,2025-07-04,2025-07-21,通过,刘志强,符合认定条件，通过
202300213,赴泰安乡村振兴实践团,自主实践团队,乡村振兴调研,汽车工程学院,2024-07-09,2024-07-17,通过,刘志强,材料齐全，同意认定
202300213,赴日照乡村振兴实践团,自主实践团队,乡村振兴调研,汽车工程学院,2025-07-03,2025-07-19,通过,刘志强,材料齐全，同意认定
202300214,赴聊城乡村振兴实践团,企业实习实践,乡村振兴调研,校团委,2024-07-04,2024-07-20,通过,刘志强,佐证材料完整，予以通过
202300214,赴济宁乡村振兴实践团,校级重点团队,乡村振兴调研,校团委,2025-07-01,2025-07-21,待审核,,
202300215,赴聊城社区志愿实践团,校级重点团队,社区志愿服务,汽车工程学院,2024-07-10,2024-07-15,通过,刘志强,材料齐全，同意认定
202300215,赴潍坊企业走访实践团,企业实习实践,企业走访见习,校团委,2025-07-04,2025-07-17,待审核,,
202300216,赴枣庄海洋生态实践团,企业实习实践,海洋生态保护宣传,校团委,2024-07-01,2024-07-20,待审核,,
202300216,赴潍坊黄河流域实践团,校级重点团队,黄河流域生态考察,汽车工程学院,2025-07-10,2025-07-23,通过,刘志强,符合认定条件，通过
202300217,赴烟台企业走访实践团,返家乡实践,企业走访见习,校团委,2024-07-09,2024-07-25,通过,刘志强,佐证材料完整，予以通过
202300217,赴济南红色基因实践团,返家乡实践,红色基因传承,汽车工程学院,2025-07-01,2025-07-18,通过,刘志强,材料齐全，同意认定
202300218,赴淄博红色基因实践团,校级重点团队,红色基因传承,校团委,2024-07-09,2024-07-22,公示中,刘志强,佐证材料完整，予以通过
202300218,赴济宁乡村振兴实践团,自主实践团队,乡村振兴调研,汽车工程学院,2025-07-05,2025-07-15,待审核,,
202300219,赴威海乡村振兴实践团,企业实习实践,乡村振兴调研,威海团市委,2024-07-02,2024-07-19,通过,刘志强,材料齐全，同意认定
202300219,赴威海乡村振兴实践团,院级重点团队,乡村振兴调研,汽车工程学院,2025-07-08,2025-07-23,通过,刘志强,佐证材料完整，予以通过
202300220,赴东营红色基因实践团,校级重点团队,红色基因传承,威海团市委,2024-07-10,2024-07-15,通过,刘志强,符合认定条件，通过
202300220,赴临沂黄河流域实践团,返家乡实践,黄河流域生态考察,威海团市委,2025-07-10,2025-07-24,通过,刘志强,符合认定条件，通过
202300221,赴济南红色基因实践团,校级重点团队,红色基因传承,威海团市委,2024-07-05,2024-07-20,通过,刘志强,符合认定条件，通过
202300221,赴东营红色基因实践团,院级重点团队,红色基因传承,汽车工程学院,2025-07-06,2025-07-15,通过,刘志强,符合认定条件，通过
202300222,赴泰安红色基地实践团,企业实习实践,红色基地研学,威海团市委,2024-07-09,2024-07-26,通过,刘志强,符合认定条件，通过
202300222,赴济宁汽车产业实践团,自主实践团队,汽车产业链调研,威海团市委,2025-07-07,2025-07-25,通过,刘志强,佐证材料完整，予以通过
202300223,赴枣庄社区志愿实践团,企业实习实践,社区志愿服务,校团委,2024-07-02,2024-07-17,通过,刘志强,符合认定条件，通过
202300223,赴临沂红色基因实践团,校级重点团队,红色基因传承,威海团市委,2025-07-04,2025-07-22,通过,刘志强,材料齐全，同意认定
202300224,赴潍坊关爱留守实践团,企业实习实践,关爱留守儿童,校团委,2024-07-10,2024-07-15,通过,刘志强,材料齐全，同意认定
202300224,赴烟台乡村振兴实践团,自主实践团队,乡村振兴调研,汽车工程学院,2025-07-05,2025-07-19,通过,刘志强,佐证材料完整，予以通过
202300225,赴枣庄企业走访实践团,返家乡实践,企业走访见习,威海团市委,2024-07-03,2024-07-19,通过,刘志强,材料齐全，同意认定
202300225,赴德州海洋生态实践团,企业实习实践,海洋生态保护宣传,威海团市委,2025-07-07,2025-07-22,通过,刘志强,材料齐全，同意认定
202300226,赴济南黄河流域实践团,院级重点团队,黄河流域生态考察,校团委,2024-07-04,2024-07-16,通过,刘志强,佐证材料完整，予以通过
202300226,赴枣庄海洋生态实践团,院级重点团队,海洋生态保护宣传,校团委,2025-07-02,2025-07-28,通过,刘志强,佐证材料完整，予以通过
202300227,赴青岛社区志愿实践团,校级重点团队,社区志愿服务,威海团市委,2024-07-04,2024-07-17,通过,刘志强,材料齐全，同意认定
202300227,赴济宁红色基地实践团,院级重点团队,红色基地研学,汽车工程学院,2025-07-06,2025-07-19,待审核,,
202300228,赴泰安海洋生态实践团,校级重点团队,海洋生态保护宣传,汽车工程学院,2024-07-02,2024-07-27,通过,刘志强,材料齐全，同意认定
202300228,赴淄博社区志愿实践团,企业实习实践,社区志愿服务,汽车工程学院,2025-07-10,2025-07-27,待审核,,
202300229,赴威海科技支农实践团,返家乡实践,科技支农帮扶,汽车工程学院,2024-07-07,2024-07-17,通过,刘志强,佐证材料完整，予以通过
202300229,赴临沂科技支农实践团,院级重点团队,科技支农帮扶,校团委,2025-07-09,2025-07-26,通过,刘志强,佐证材料完整，予以通过
202300230,赴潍坊乡村振兴实践团,校级重点团队,乡村振兴调研,威海团市委,2024-07-07,2024-07-16,待审核,,
202300230,赴烟台黄河流域实践团,院级重点团队,黄河流域生态考察,汽车工程学院,2025-07-03,2025-07-17,公示中,刘志强,佐证材料完整，予以通过
202300231,赴青岛汽车产业实践团,企业实习实践,汽车产业链调研,校团委,2024-07-08,2024-07-20,通过,刘志强,佐证材料完整，予以通过
202300231,赴烟台红色基因实践团,自主实践团队,红色基因传承,汽车工程学院,2025-07-09,2025-07-15,通过,刘志强,佐证材料完整，予以通过
202300232,赴淄博企业走访实践团,院级重点团队,企业走访见习,校团委,2024-07-07,2024-07-22,通过,刘志强,佐证材料完整，予以通过
202300232,赴德州海洋生态实践团,校级重点团队,海洋生态保护宣传,校团委,2025-07-02,2025-07-16,通过,刘志强,符合认定条件，通过
202300233,赴德州红色基地实践团,院级重点团队,红色基地研学,校团委,2024-07-07,2024-07-26,公示中,刘志强,材料齐全，同意认定
202300233,赴枣庄乡村振兴实践团,返家乡实践,乡村振兴调研,汽车工程学院,2025-07-03,2025-07-26,通过,刘志强,材料齐全，同意认定
202300234,赴泰安海洋生态实践团,自主实践团队,海洋生态保护宣传,校团委,2024-07-07,2024-07-28,待审核,,
202300234,赴淄博海洋生态实践团,院级重点团队,海洋生态保护宣传,威海团市委,2025-07-08,2025-07-25,通过,刘志强,符合认定条件，通过
202300235,赴潍坊企业走访实践团,企业实习实践,企业走访见习,汽车工程学院,2024-07-03,2024-07-23,通过,刘志强,材料齐全，同意认定
202300235,赴威海社区志愿实践团,校级重点团队,社区志愿服务,校团委,2025-07-04,2025-07-26,通过,刘志强,符合认定条件，通过
202300236,赴威海社区志愿实践团,院级重点团队,社区志愿服务,校团委,2024-07-09,2024-07-17,通过,刘志强,符合认定条件，通过
202300236,赴济南黄河流域实践团,校级重点团队,黄河流域生态考察,校团委,2025-07-07,2025-07-26,通过,刘志强,符合认定条件，通过
202300237,赴枣庄关爱留守实践团,自主实践团队,关爱留守儿童,校团委,2024-07-09,2024-07-24,通过,刘志强,材料齐全，同意认定
202300237,赴日照乡村振兴实践团,自主实践团队,乡村振兴调研,汽车工程学院,2025-07-03,2025-07-26,通过,刘志强,材料齐全，同意认定
202300238,赴济南黄河流域实践团,返家乡实践,黄河流域生态考察,威海团市委,2024-07-06,2024-07-16,通过,刘志强,符合认定条件，通过
202300238,赴东营科技支农实践团,企业实习实践,科技支农帮扶,校团委,2025-07-08,2025-07-20,通过,刘志强,材料齐全，同意认定
202300239,赴淄博关爱留守实践团,院级重点团队,关爱留守儿童,威海团市委,2024-07-07,2024-07-20,通过,刘志强,符合认定条件，通过
202300239,赴临沂乡村振兴实践团,自主实践团队,乡村振兴调研,威海团市委,2025-07-07,2025-07-26,待审核,,
202300240,赴临沂汽车产业实践团,返家乡实践,汽车产业链调研,威海团市委,2024-07-03,2024-07-18,通过,刘志强,符合认定条件，通过
202300240,赴德州汽车产业实践团,返家乡实践,汽车产业链调研,威海团市委,2025-07-10,2025-07-26,通过,刘志强,佐证材料完整，予以通过
202300241,赴德州红色基地实践团,企业实习实践,红色基地研学,威海团市委,2024-07-10,2024-07-16,通过,刘志强,符合认定条件，通过
202300241,赴济南关爱留守实践团,企业实习实践,关爱留守儿童,校团委,2025-07-03,2025-07-28,通过,刘志强,符合认定条件，通过
202300242,赴日照红色基地实践团,自主实践团队,红色基地研学,威海团市委,2024-07-07,2024-07-25,通过,刘志强,佐证材料完整，予以通过
202300242,赴聊城红色基地实践团,自主实践团队,红色基地研学,校团委,2025-07-07,2025-07-20,通过,刘志强,佐证材料完整，予以通过
202300243,赴威海科技支农实践团,企业实习实践,科技支农帮扶,汽车工程学院,2024-07-08,2024-07-27,通过,刘志强,佐证材料完整，予以通过
202300243,赴临沂关爱留守实践团,校级重点团队,关爱留守儿童,汽车工程学院,2025-07-07,2025-07-26,通过,刘志强,佐证材料完整，予以通过
202300244,赴东营科技支农实践团,企业实习实践,科技支农帮扶,汽车工程学院,2024-07-06,2024-07-25,通过,刘志强,符合认定条件，通过
202300244,赴日照乡村振兴实践团,校级重点团队,乡村振兴调研,校团委,2025-07-10,2025-07-16,待审核,,
202300245,赴东营科技支农实践团,自主实践团队,科技支农帮扶,校团委,2024-07-07,2024-07-24,通过,刘志强,材料齐全，同意认定
202300245,赴淄博黄河流域实践团,院级重点团队,黄河流域生态考察,汽车工程学院,2025-07-02,2025-07-22,待审核,,
202300246,赴泰安汽车产业实践团,院级重点团队,汽车产业链调研,威海团市委,2024-07-03,2024-07-26,通过,刘志强,符合认定条件，通过
202300246,赴聊城红色基地实践团,企业实习实践,红色基地研学,校团委,2025-07-06,2025-07-26,通过,刘志强,佐证材料完整，予以通过
