学号,荣誉名称,级别,授予单位,获得日期,状态,审核人,审核意见
202300157,国家励志奖学金,国家级,校团委,2026-05-19,通过,王海燕,佐证材料完整，予以通过
202300158,校三等奖学金,校级,学校,2023-02-18,待审核,,
202300158,优秀共青团员,校级,学生工作处,2023-04-14,通过,王海燕,材料齐全，同意认定
202300159,校园十佳志愿者,校级,学校,2023-04-02,通过,王海燕,符合认定条件，通过
202300159,社会实践先进个人,校级,学生工作处,2026-02-03,通过,王海燕,佐证材料完整，予以通过
202300160,校三好学生,校级,学校,2023-08-04,通过,王海燕,佐证材料完整，予以通过
202300160,国家励志奖学金,国家级,学生工作处,2023-08-10,通过,王海燕,佐证材料完整，予以通过
202300161,社会实践先进个人,校级,学校,2023-02-27,待审核,,
202300161,军训优秀学员,院级,汽车工程学院,2023-08-08,待院长审批,王海燕,初审通过，转院长审批
202300162,军训优秀学员,院级,学校,2026-01-19,通过,王海燕,材料齐全，同意认定
202300162,校三等奖学金,校级,汽车工程学院,2023-07-18,通过,王海燕,符合认定条件，通过
202300163,社会实践先进个人,校级,汽车工程学院,2025-09-13,通过,王海燕,佐证材料完整，予以通过
202300163,国家奖学金,国家级,汽车工程学院,2023-03-27,待审核,,
202300164,校三好学生,校级,汽车工程学院,2024-04-08,通过,王海燕,符合认定条件，通过
202300164,校一等奖学金,校级,汽车工程学院,2024-03-11,通过,王海燕,材料齐全，同意认定
202300165,优秀共青团干部,校级,学校,2025-02-16,通过,王海燕,材料齐全，同意认定
202300165,校一等奖学金,校级,汽车工程学院,2024-08-16,通过,王海燕,材料齐全，同意认定
202300166,校二等奖学金,校级,校团委,2024-05-23,通过,王海燕,材料齐全，同意认定
202300166,军训优秀学员,院级,学校,2025-05-17,通过,王海燕,材料齐全，同意认定
202300167,军训优秀学员,院级,汽车工程学院,2024-03-10,通过,王海燕,符合认定条件，通过
202300167,校三好学生,校级,学生工作处,2023-04-09,通过,王海燕,佐证材料完整，予以通过
202300168,国家励志奖学金,国家级,校团委,2025-04-05,公示中,王海燕,佐证材料完整，予以通过
202300168,校优秀学生干部,校级,学生工作处,2026-07-10,通过,王海燕,符合认定条件，通过
202300169,校三好学生,校级,学生工作处,2026-03-24,通过,王海燕,佐证材料完整，予以通过
202300169,校一等奖学金,校级,汽车工程学院,2023-10-12,待审核,,
202300170,校二等奖学金,校级,学校,2025-02-09,待审核,,
202300170,优秀共青团员,校级,学生工作处,2026-08-08,待院长审批,王海燕,初审通过，转院长审批
202300171,校优秀学生干部,校级,学生工作处,2025-12-12,通过,王海燕,符合认定条件，通过
202300171,国家励志奖学金,国家级,汽车工程学院,2023-05-21,通过,王海燕,材料齐全，同意认定
202300172,校二等奖学金,校级,学生工作处,2025-04-23,通过,王海燕,佐证材料完整，予以通过
202300172,社会实践先进个人,校级,学校,2025-08-06,通过,王海燕,符合认定条件，通过
202300173,校二等奖学金,校级,汽车工程学院,2023-08-24,通过,王海燕,材料齐全，同意认定
202300173,校一等奖学金,校级,校团委,2023-10-24,待院长审批,王海燕,初审通过，转院长审批
202300174,校优秀学生干部,校级,汽车工程学院,2026-06-20,通过,王海燕,符合认定条件，通过
202300174,校园十佳志愿者,校级,学校,2023-07-03,待审核,,
202300175,军训优秀学员,院级,学生工作处,2023-01-24,通过,王海燕,符合认定条件，通过
202300175,校三等奖学金,校级,校团委,2025-02-04,待审核,,
202300176,校三好学生,校级,汽车工程学院,2024-02-13,通过,王海燕,佐证材料完整，予以通过
202300176,国家励志奖学金,国家级,学生工作处,2026-07-27,公示中,王海燕,材料齐全，同意认定
202300177,国家励志奖学金,国家级,学生工作处,2023-10-28,待审核,,
202300177,优秀共青团干部,校级,学校,2023-12-26,通过,王海燕,材料齐全，同意认定
202300178,国家励志奖学金,国家级,学校,2024-07-25,待审核,,
202300178,校园十佳志愿者,校级,学生工作处,2026-04-15,通过,王海燕,佐证材料完整，予以通过
202300179,校三好学生,校级,汽车工程学院,2024-01-27,通过,王海燕,佐证材料完整，予以通过
202300179,国家励志奖学金,国家级,学校,2025-10-08,待院长审批,王海燕,初审通过，转院长审批
202300180,校三好学生,校级,汽车工程学院,2025-03-06,通过,王海燕,佐证材料完整，予以通过
202300180,校园十佳志愿者,校级,校团委,2026-04-09,通过,王海燕,材料齐全，同意认定
202300181,校二等奖学金,校级,学生工作处,2024-06-06,待审核,,
202300181,国家励志奖学金,国家级,学校,2025-09-26,通过,王海燕,佐证材料完整，予以通过
202300182,优秀共青团员,校级,学校,2024-02-17,通过,王海燕,材料齐全，同意认定
202300182,国家奖学金,国家级,汽车工程学院,2023-01-08,通过,王海燕,佐证材料完整，予以通过
202300183,校二等奖学金,校级,学校,2023-05-20,通过,王海燕,佐证材料完整，予以通过
202300183,校三等奖学金,校级,汽车工程学院,2023-09-23,通过,王海燕,材料齐全，同意认定
202300184,国家奖学金,国家级,校团委,2026-04-09,通过,王海燕,符合认定条件，通过
202300184,校三好学生,校级,学校,2023-09-05,通过,王海燕,材料齐全，同意认定
202300185,社会实践先进个人,校级,汽车工程学院,2023-09-20,通过,王海燕,佐证材料完整，予以通过
202300185,军训优秀学员,院级,学校,2026-06-13,通过,王海燕,材料齐全，同意认定
202300186,校二等奖学金,校级,汽车工程学院,2026-02-26,待审核,,
202300186,国家奖学金,国家级,校团委,2025-11-06,公示中,王海燕,符合认定条件，通过
202300187,校园十佳志愿者,校级,校团委,2026-05-13,通过,王海燕,佐证材料完整，予以通过
202300187,校一等奖学金,校级,校团委,2024-01-13,通过,王海燕,佐证材料完整，予以通过
202300188,优秀共青团干部,校级,校团委,2024-04-12,通过,王海燕,材料齐全，同意认定
202300188,校二等奖学金,校级,汽车工程学院,2024-02-20,通过,王海燕,佐证材料完整，予以通过
202300189,校优秀学生干部,校级,学生工作处,2024-12-04,通过,王海燕,符合认定条件，通过
202300189,国家奖学金,国家级,汽车工程学院,2024-06-25,通过,王海燕,符合认定条件，通过
202300190,校二等奖学金,校级,学生工作处,2025-07-22,待审核,,
202300190,优秀共青团干部,校级,学校,2025-07-14,待院长审批,王海燕,初审通过，转院长审批
202300191,校优秀学生干部,校级,学校,2024-06-28,通过,王海燕,材料齐全，同意认定
202300191,国家励志奖学金,国家级,学校,2026-01-26,通过,王海燕,材料齐全，同意认定
202300192,校优秀学生干部,校级,汽车工程学院,2023-10-23,通过,王海燕,佐证材料完整，予以通过
202300192,优秀共青团干部,校级,学生工作处,2025-10-04,待审核,,
202300193,校优秀学生干部,校级,汽车工程学院,2024-02-17,通过,王海燕,佐证材料完整，予以通过
202300193,校二等奖学金,校级,学校,2025-02-21,通过,王海燕,符合认定条件，通过
202300194,国家励志奖学金,国家级,学生工作处,2026-04-18,通过,王海燕,佐证材料完整，予以通过
202300194,校一等奖学金,校级,校团委,2025-08-19,通过,王海燕,材料齐全，同意认定
202300195,国家励志奖学金,国家级,学校,2023-09-03,通过,王海燕,材料齐全，同意认定
202300195,校三等奖学金,校级,学校,2024-05-04,通过,王海燕,材料齐全，同意认定
202300196,校一等奖学金,校级,校团委,2024-10-10,待院长审批,王海燕,初审通过，转院长审批
202300196,校优秀学生干部,校级,汽车工程学院,2024-04-09,待审核,,
202300197,社会实践先进个人,校级,校团委,2025-08-23,通过,王海燕,符合认定条件，通过
202300197,校优秀学生干部,校级,校团委,2024-02-08,通过,王海燕,材料齐全，同意认定
202300198,优秀共青团干部,校级,学生工作处,2023-10-24,通过,王海燕,材料齐全，同意认定
202300198,优秀共青团干部,校级,汽车工程学院,2026-02-04,通过,王海燕,材料齐全，同意认定
202300199,校一等奖学金,校级,学校,2024-02-02,通过,王海燕,佐证材料完整，予以通过
202300199,社会实践先进个人,校级,学生工作处,2024-01-27,通过,王海燕,符合认定条件，通过
202300200,社会实践先进个人,校级,学校,2026-02-22,通过,王海燕,佐证材料完整，予以通过
202300200,国家奖学金,国家级,学校,2025-09-14,通过,王海燕,佐证材料完整，予以通过
202300201,国家奖学金,国家级,校团委,2025-11-11,通过,王海燕,佐证材料完整，予以通过
202300201,优秀共青团干部,校级,学校,2023-11-15,待院长审批,王海燕,初审通过，转院长审批
202300202,校三好学生,校级,校团委,2023-11-03,待审核,,
202300202,校一等奖学金,校级,校团委,2025-07-06,通过,王海燕,材料齐全，同意认定
202300203,校三等奖学金,校级,学校,2023-03-20,待审核,,
202300203,国家奖学金,国家级,汽车工程学院,2023-02-21,通过,王海燕,佐证材料完整，予以通过
202300204,优秀共青团干部,校级,汽车工程学院,2023-04-20,通过,王海燕,佐证材料完整，予以通过
202300204,校园十佳志愿者,校级,校团委,2026-03-10,通过,王海燕,材料齐全，同意认定
202300205,校优秀学生干部,校级,学生工作处,2026-06-23,通过,刘志强,材料齐全，同意认定
202300205,校三好学生,校级,汽车工程学院,2026-08-16,通过,刘志强,佐证材料完整，予以通过
202300206,优秀共青团干部,校级,汽车工程学院,2023-08-27,待审核,,
202300206,校一等奖学金,校级,学生工作处,2026-05-04,通过,刘志强,佐证材料完整，予以通过
202300207,校二等奖学金,校级,学校,2024-09-16,通过,刘志强,材料齐全，同意认定
202300207,校园十佳志愿者,校级,学校,2023-07-24,通过,刘志强,佐证材料完整，予以通过
202300208,国家励志奖学金,国家级,学生工作处,2026-07-16,待审核,,
202300208,校园十佳志愿者,校级,校团委,2024-09-04,通过,刘志强,佐证材料完整，予以通过
202300209,校园十佳志愿者,校级,学生工作处,2024-02-19,通过,刘志强,材料齐全，同意认定
202300209,校二等奖学金,校级,汽车工程学院,2025-11-21,通过,刘志强,材料齐全，同意认定
202300210,国家奖学金,国家级,学校,2023-06-09,通过,刘志强,符合认定条件，通过
202300210,校优秀学生干部,校级,学校,2024-10-14,通过,刘志强,材料齐全，同意认定
202300211,校一等奖学金,校级,学生工作处,2023-12-24,通过,刘志强,符合认定条件，通过
202300211,优秀共青团干部,校级,学生工作处,2024-03-18,公示中,刘志强,符合认定条件，通过
202300212,国家励志奖学金,国家级,学校,2025-12-04,通过,刘志强,符合认定条件，通过
202300212,校园十佳志愿者,校级,学生工作处,2024-05-26,通过,刘志强,佐证材料完整，予以通过
202300213,国家励志奖学金,国家级,校团委,2026-04-25,通过,刘志强,符合认定条件，通过
202300213,校一等奖学金,校级,汽车工程学院,2026-05-15,通过,刘志强,材料齐全，同意认定
202300214,校优秀学生干部,校级,学校,2025-07-02,通过,刘志强,材料齐全，同意认定
202300214,校二等奖学金,校级,校团委,2026-08-28,通过,刘志强,佐证材料完整，予以通过
202300215,校三好学生,校级,学生工作处,2026-08-22,通过,刘志强,佐证材料完整，予以通过
202300215,军训优秀学员,院级,学校,2025-06-10,待审核,,
202300216,校园十佳志愿者,校级,学校,2024-07-27,通过,刘志强,符合认定条件，通过
202300216,校一等奖学金,校级,汽车工程学院,2023-01-10,待审核,,
202300217,国家励志奖学金,国家级,校团委,2026-04-13,通过,刘志强,材料齐全，同意认定
202300217,校优秀学生干部,校级,汽车工程学院,2023-03-21,通过,刘志强,佐证材料完整，予以通过
202300218,优秀共青团干部,校级,学校,2026-08-25,通过,刘志强,佐证材料完整，予以通过
202300218,军训优秀学员,院级,学生工作处,2026-04-27,待院长审批,刘志强,初审通过，转院长审批
202300219,校三好学生,校级,学生工作处,2024-01-03,待院长审批,刘志强,初审通过，转院长审批
202300219,军训优秀学员,院级,汽车工程学院,2023-06-22,待审核,,
202300220,社会实践先进个人,校级,汽车工程学院,2024-04-04,待院长审批,刘志强,初审通过，转院长审批
202300220,校三等奖学金,校级,汽车工程学院,2026-07-16,待院长审批,刘志强,初审通过，转院长审批
202300221,校三等奖学金,校级,学校,2023-05-09,通过,刘志强,佐证材料完整，予以通过
202300221,校园十佳志愿者,校级,学校,2025-12-16,通过,刘志强,符合认定条件，通过
202300222,国家奖学金,国家级,校团委,2024-07-05,通过,刘志强,佐证材料完整，予以通过
202300222,国家励志奖学金,国家级,校团委,2025-01-25,待审核,,
202300223,校一等奖学金,校级,汽车工程学院,2023-08-16,待审核,,
202300223,国家励志奖学金,国家级,学生工作处,2025-08-05,通过,刘志强,材料齐全，同意认定
202300224,优秀共青团干部,校级,汽车工程学院,2025-07-20,通过,刘志强,佐证材料完整，予以通过
202300224,优秀共青团员,校级,学校,2023-11-17,公示中,刘志强,符合认定条件，通过
202300225,校优秀学生干部,校级,学校,2024-08-03,待审核,,
202300225,校园十佳志愿者,校级,学校,2025-03-04,通过,刘志强,材料齐全，同意认定
202300226,校一等奖学金,校级,学生工作处,2024-07-20,通过,刘志强,材料齐全，同意认定
202300226,校三等奖学金,校级,学生工作处,2024-05-13,通过,刘志强,材料齐全，同意认定
202300227,国家奖学金,国家级,学校,2023-05-23,通过,刘志强,符合认定条件，通过
202300227,校一等奖学金,校级,校团委,2026-05-23,通过,刘志强,符合认定条件，通过
202300228,军训优秀学员,院级,校团委,2026-05-04,通过,刘志强,材料齐全，同意认定
202300228,社会实践先进个人,校级,汽车工程学院,2023-07-18,通过,刘志强,佐证材料完整，予以通过
202300229,优秀共青团干部,校级,学校,2025-01-01,通过,刘志强,材料齐全，同意认定
202300229,校二等奖学金,校级,学校,2026-04-10,待院长审批,刘志强,初审通过，转院长审批
202300230,校园十佳志愿者,校级,学校,2023-08-25,通过,刘志强,材料齐全，同意认定
202300230,校三等奖学金,校级,学生工作处,2023-03-03,通过,刘志强,佐证材料完整，予以通过
202300231,优秀共青团员,校级,学生工作处,2025-04-14,待院长审批,刘志强,初审通过，转院长审批
202300231,校园十佳志愿者,校级,学校,2024-11-23,通过,刘志强,佐证材料完整，予以通过
202300232,军训优秀学员,院级,校团委,2025-09-03,通过,刘志强,佐证材料完整，予以通过
202300232,优秀共青团干部,校级,汽车工程学院,2023-02-05,通过,刘志强,材料齐全，同意认定
202300233,校优秀学生干部,校级,学校,2025-03-10,通过,刘志强,符合认定条件，通过
202300233,优秀共青团干部,校级,校团委,2024-09-27,通过,刘志强,符合认定条件，通过
202300234,军训优秀学员,院级,汽车工程学院,2025-09-16,通过,刘志强,材料齐全，同意认定
202300234,校三等奖学金,校级,汽车工程学院,2026-06-22,通过,刘志强,佐证材料完整，予以通过
202300235,校优秀学生干部,校级,学生工作处,2024-10-02,通过,刘志强,符合认定条件，通过
202300235,校优秀学生干部,校级,汽车工程学院,2026-05-08,通过,刘志强,佐证材料完整，予以通过
202300236,军训优秀学员,院级,校团委,2025-04-27,通过,刘志强,佐证材料完整，予以通过
202300236,优秀共青团干部,校级,学校,2026-03-13,通过,刘志强,佐证材料完整，予以通过
202300237,社会实践先进个人,校级,汽车工程学院,2025-12-26,公示中,刘志强,材料齐全，同意认定
202300237,校优秀学生干部,校级,校团委,2024-09-28,通过,刘志强,材料齐全，同意认定
202300238,军训优秀学员,院级,学校,2025-12-19,通过,刘志强,佐证材料完整，予以通过
202300238,校园十佳志愿者,校级,学生工作处,2025-03-11,待审核,,
202300239,优秀共青团员,校级,汽车工程学院,2023-08-18,通过,刘志强,佐证材料完整，予以通过
202300239,校一等奖学金,校级,学生工作处,2026-04-19,通过,刘志强,佐证材料完整，予以通过
202300240,优秀共青团干部,校级,汽车工程学院,2024-11-16,通过,刘志强,佐证材料完整，予以通过
202300240,优秀共青团干部,校级,校团委,2026-08-25,通过,刘志强,佐证材料完整，予以通过
202300241,校二等奖学金,校级,学生工作处,2023-03-18,通过,刘志强,符合认定条件，通过
202300241,校三好学生,校级,汽车工程学院,2025-07-09,通过,刘志强,佐证材料完整，予以通过
202300242,国家奖学金,国家级,校团委,2025-12-19,通过,刘志强,佐证材料完整，予以通过
202300242,优秀共青团干部,校级,校团委,2026-03-15,通过,刘志强,符合认定条件，通过
202300243,优秀共青团员,校级,学生工作处,2024-09-25,通过,刘志强,符合认定条件，通过
202300243,优秀共青团员,校级,汽车工程学院,2024-06-21,待院长审批,刘志强,初审通过，转院长审批
202300244,优秀共青团员,校级,学校,2025-08-11,通过,刘志强,材料齐全，同意认定
202300244,军训优秀学员,院级,学校,2023-09-14,通过,刘志强,佐证材料完整，予以通过
202300245,校园十佳志愿者,校级,汽车工程学院,2023-11-03,通过,刘志强,材料齐全，同意认定
202300245,校优秀学生干部,校级,汽车工程学院,2025-08-18,通过,刘志强,佐证材料完整，予以通过
202300246,优秀共青团员,校级,学生工作处,2025-06-03,待审核,,
202300246,国家励志奖学金,国家级,汽车工程学院,2023-05-17,通过,刘志强,符合认定条件，通过
202300247,国家奖学金,国家级,学生工作处,2023-09-14,通过,刘志强,佐证材料完整，予以通过
202300247,国家励志奖学金,国家级,汽车工程学院,2026-07-01,待审核,,
202300248,优秀共青团干部,校级,校团委,2025-04-14,待院长审批,刘志强,初审通过，转院长审批
202300248,国家励志奖学金,国家级,校团委,2026-01-25,待院长审批,刘志强,初审通过，转院长审批
202300249,优秀共青团干部,校级,学校,2026-05-08,通过,刘志强,佐证材料完整，予以通过
202300249,优秀共青团干部,校级,校团委,2024-06-10,通过,刘志强,符合认定条件，通过
202300250,优秀共青团员,校级,汽车工程学院,2026-02-18,公示中,刘志强,材料齐全，同意认定
202300250,校三等奖学金,校级,学校,2024-05-24,通过,刘志强,材料齐全，同意认定
202300251,校园十佳志愿者,校级,校团委,2026-04-14,通过,刘志强,材料齐全，同意认定
202300251,校二等奖学金,校级,汽车工程学院,2026-01-08,待院长审批,刘志强,初审通过，转院长审批
202300252,国家励志奖学金,国家级,学生工作处,2023-08-03,待审核,,
202300252,校三等奖学金,校级,校团委,2023-10-25,通过,刘志强,佐证材料完整，予以通过
202300253,优秀共青团干部,校级,汽车工程学院,2024-06-14,通过,刘志强,符合认定条件，通过
202300253,校二等奖学金,校级,学校,2026-05-02,通过,刘志强,符合认定条件，通过
202300254,校一等奖学金,校级,学校,2023-05-22,通过,刘志强,材料齐全，同意认定
202300254,校三好学生,校级,学校,2024-10-24,待审核,,
202300255,国家奖学金,国家级,校团委,2023-08-08,通过,刘志强,佐证材料完整，予以通过
202300255,校优秀学生干部,校级,汽车工程学院,2023-05-22,通过,刘志强,符合认定条件，通过
202300256,校三好学生,校级,校团委,2024-01-25,通过,刘志强,材料齐全，同意认定
202300256,军训优秀学员,院级,学校,2026-05-06,待审核,,
202300257,社会实践先进个人,校级,校团委,2024-10-08,通过,刘志强,佐证材料完整，予以通过
202300257,校优秀学生干部,校级,汽车工程学院,2023-08-09,待审核,,
202300258,优秀共青团干部,校级,学生工作处,2025-07-15,通过,刘志强,佐证材料完整，予以通过
202300258,优秀共青团员,校级,学校,2023-04-08,通过,刘志强,材料齐全，同意认定
202300259,校园十佳志愿者,校级,汽车工程学院,2024-07-12,通过,刘志强,材料齐全，同意认定
202300259,国家奖学金,国家级,学生工作处,2023-02-08,通过,刘志强,材料齐全，同意认定
202300260,国家励志奖学金,国家级,汽车工程学院,2024-04-05,通过,刘志强,佐证材料完整，予以通过
202300260,军训优秀学员,院级,汽车工程学院,2025-09-22,通过,刘志强,佐证材料完整，予以通过
202300261,校三好学生,校级,汽车工程学院,2026-08-04,通过,刘志强,佐证材料完整，予以通过
202300261,校园十佳志愿者,校级,校团委,2024-12-02,通过,刘志强,佐证材料完整，予以通过
202300262,优秀共青团干部,校级,汽车工程学院,2023-08-10,通过,刘志强,材料齐全，同意认定
202300262,军训优秀学员,院级,校团委,2026-04-14,通过,刘志强,佐证材料完整，予以通过
202300263,国家励志奖学金,国家级,学生工作处,2025-01-03,公示中,刘志强,材料齐全，同意认定
202300263,校优秀学生干部,校级,学生工作处,2024-12-28,通过,刘志强,佐证材料完整，予以通过
202300264,社会实践先进个人,校级,校团委,2026-02-10,通过,刘志强,材料齐全，同意认定
202300264,优秀共青团员,校级,学生工作处,2023-11-13,待审核,,
202300265,优秀共青团干部,校级,学校,2026-07-21,通过,刘志强,佐证材料完整，予以通过
202300265,国家奖学金,国家级,汽车工程学院,2024-07-04,通过,刘志强,符合认定条件，通过
202300266,国家励志奖学金,国家级,校团委,2026-01-25,通过,刘志强,符合认定条件，通过
202300266,社会实践先进个人,校级,学校,2026-01-18,通过,刘志强,符合认定条件，通过
202300267,军训优秀学员,院级,学校,2024-11-08,通过,刘志强,材料齐全，同意认定
202300267,校三等奖学金,校级,汽车工程学院,2023-06-05,通过,刘志强,佐证材料完整，予以通过
202300268,校一等奖学金,校级,校团委,2025-09-24,通过,刘志强,佐证材料完整，予以通过
202300268,国家奖学金,国家级,学校,2024-03-16,通过,刘志强,符合认定条件，通过
202300269,军训优秀学员,院级,汽车工程学院,2023-12-21,通过,刘志强,符合认定条件，通过
202300269,军训优秀学员,院级,汽车工程学院,2024-02-09,通过,刘志强,符合认定条件，通过
202300270,社会实践先进个人,校级,学生工作处,2026-05-16,待审核,,
202300270,优秀共青团员,校级,汽车工程学院,2024-04-17,通过,刘志强,符合认定条件，通过
202300271,社会实践先进个人,校级,汽车工程学院,2023-07-12,通过,赵鹏,材料齐全，同意认定
202300271,优秀共青团员,校级,校团委,2023-05-22,通过,赵鹏,符合认定条件，通过
202300272,校二等奖学金,校级,学校,2024-12-11,通过,赵鹏,材料齐全，同意认定
202300272,校二等奖学金,校级,学校,2024-01-01,待审核,,
202300273,校一等奖学金,校级,校团委,2023-07-22,待审核,,
202300273,军训优秀学员,院级,校团委,2024-11-16,通过,赵鹏,符合认定条件，通过
202300274,校三好学生,校级,汽车工程学院,2025-03-04,通过,赵鹏,符合认定条件，通过
202300274,军训优秀学员,院级,汽车工程学院,2026-01-03,通过,赵鹏,符合认定条件，通过
202300275,国家奖学金,国家级,学生工作处,2025-06-12,通过,赵鹏,材料齐全，同意认定
202300275,社会实践先进个人,校级,学校,2025-06-25,通过,赵鹏,佐证材料完整，予以通过
202300276,校园十佳志愿者,校级,学校,2024-11-09,通过,赵鹏,符合认定条件，通过
202300276,校三等奖学金,校级,校团委,2025-11-02,通过,赵鹏,佐证材料完整，予以通过
202300277,社会实践先进个人,校级,学生工作处,2025-11-11,通过,赵鹏,材料齐全，同意认定
202300277,校三好学生,校级,校团委,2023-06-12,待审核,,
202300278,校三等奖学金,校级,汽车工程学院,2023-01-06,公示中,赵鹏,符合认定条件，通过
202300278,军训优秀学员,院级,汽车工程学院,2023-01-08,通过,赵鹏,佐证材料完整，予以通过
202300279,国家奖学金,国家级,学校,2025-03-26,通过,赵鹏,符合认定条件，通过
202300279,校一等奖学金,校级,汽车工程学院,2023-07-05,通过,赵鹏,材料齐全，同意认定
202300280,校优秀学生干部,校级,学生工作处,2026-08-24,通过,赵鹏,符合认定条件，通过
202300280,优秀共青团员,校级,学校,2023-02-10,通过,赵鹏,佐证材料完整，予以通过
202300281,军训优秀学员,院级,学校,2025-04-11,通过,赵鹏,材料齐全，同意认定
202300281,社会实践先进个人,校级,学校,2025-06-05,通过,赵鹏,材料齐全，同意认定
202300282,校二等奖学金,校级,学生工作处,2023-01-05,待审核,,
202300282,军训优秀学员,院级,学生工作处,2024-08-20,待审核,,
202300283,校一等奖学金,校级,汽车工程学院,2023-09-04,待审核,,
202300283,校优秀学生干部,校级,学生工作处,2023-07-01,待院长审批,赵鹏,初审通过，转院长审批
202300284,校园十佳志愿者,校级,汽车工程学院,2024-05-28,通过,赵鹏,符合认定条件，通过
202300284,校三好学生,校级,学校,2025-11-16,待审核,,
202300285,校优秀学生干部,校级,学生工作处,2026-07-16,通过,赵鹏,材料齐全，同意认定
202300285,优秀共青团干部,校级,汽车工程学院,2023-06-14,通过,赵鹏,佐证材料完整，予以通过
202300286,优秀共青团干部,校级,学校,2025-08-24,通过,赵鹏,佐证材料完整，予以通过
202300286,校园十佳志愿者,校级,校团委,2023-08-24,通过,赵鹏,材料齐全，同意认定
202300287,优秀共青团干部,校级,校团委,2026-02-08,通过,赵鹏,材料齐全，同意认定
202300287,优秀共青团干部,校级,校团委,2025-07-03,待院长审批,赵鹏,初审通过，转院长审批
202300288,校一等奖学金,校级,学校,2025-10-20,待审核,,
202300288,优秀共青团干部,校级,学校,2026-06-05,通过,赵鹏,佐证材料完整，予以通过
202300289,社会实践先进个人,校级,校团委,2024-09-10,待院长审批,赵鹏,初审通过，转院长审批
202300289,优秀共青团员,校级,校团委,2023-03-02,待院长审批,赵鹏,初审通过，转院长审批
202300290,军训优秀学员,院级,校团委,2024-06-14,通过,赵鹏,佐证材料完整，予以通过
202300290,国家奖学金,国家级,学生工作处,2023-07-02,通过,赵鹏,符合认定条件，通过
202300291,校三等奖学金,校级,汽车工程学院,2025-01-14,通过,赵鹏,佐证材料完整，予以通过
202300291,军训优秀学员,院级,学校,2023-05-10,通过,赵鹏,佐证材料完整，予以通过
202300292,优秀共青团员,校级,学生工作处,2025-06-26,待审核,,
202300292,社会实践先进个人,校级,学校,2023-07-12,通过,赵鹏,符合认定条件，通过
202300293,国家奖学金,国家级,校团委,2025-05-07,通过,赵鹏,材料齐全，同意认定
202300293,校优秀学生干部,校级,学生工作处,2023-12-17,待审核,,
202300294,校园十佳志愿者,校级,学生工作处,2023-01-16,待审核,,
202300294,国家奖学金,国家级,学校,2023-07-27,通过,赵鹏,材料齐全，同意认定
202300295,校三等奖学金,校级,学生工作处,2025-04-22,通过,赵鹏,材料齐全，同意认定
202300295,校园十佳志愿者,校级,汽车工程学院,2026-06-06,通过,赵鹏,符合认定条件，通过
202300296,军训优秀学员,院级,校团委,2024-06-02,通过,赵鹏,材料齐全，同意认定
202300296,校优秀学生干部,校级,学生工作处,2023-11-22,通过,赵鹏,材料齐全，同意认定
202300297,优秀共青团员,校级,学校,2023-07-22,通过,赵鹏,符合认定条件，通过
202300297,优秀共青团干部,校级,校团委,2023-05-24,通过,赵鹏,材料齐全，同意认定
202300298,校三等奖学金,校级,学校,2023-10-02,通过,赵鹏,佐证材料完整，予以通过
202300298,校二等奖学金,校级,学生工作处,2023-09-21,通过,赵鹏,佐证材料完整，予以通过
202300299,校二等奖学金,校级,学校,2023-09-16,待院长审批,赵鹏,初审通过，转院长审批
202300299,国家励志奖学金,国家级,校团委,2024-01-21,待院长审批,赵鹏,初审通过，转院长审批
202300300,校三好学生,校级,校团委,2026-03-02,通过,赵鹏,材料齐全，同意认定
202300300,校优秀学生干部,校级,汽车工程学院,2024-02-14,通过,赵鹏,佐证材料完整，予以通过
202400301,优秀共青团员,校级,学生工作处,2024-07-04,通过,张伟,符合认定条件，通过
202400301,校园十佳志愿者,校级,汽车工程学院,2025-05-11,驳回,张伟,认定依据不足，请补充说明材料
202400302,校一等奖学金,校级,学校,2024-03-06,驳回,张伟,材料不完整，请补充佐证后重新提交
202400303,优秀共青团干部,校级,学生工作处,2024-07-13,通过,张伟,符合认定条件，通过
202400304,优秀共青团干部,校级,校团委,2025-11-20,待审核,,
202400305,优秀共青团干部,校级,学校,2026-05-19,通过,张伟,材料齐全，同意认定
202400306,优秀共青团员,校级,校团委,2024-01-10,驳回,张伟,盖章缺失，请重新上传完整材料
202400307,校三好学生,校级,汽车工程学院,2025-11-18,通过,张伟,佐证材料完整，予以通过
202400308,校二等奖学金,校级,学生工作处,2024-01-06,驳回,张伟,时间信息有误，请核对后重新提交
202400308,校三好学生,校级,汽车工程学院,2024-03-17,通过,张伟,材料齐全，同意认定
202400309,校园十佳志愿者,校级,校团委,2024-03-23,通过,张伟,符合认定条件，通过
202400309,国家奖学金,国家级,校团委,2025-11-16,待审核,,
202400310,优秀共青团员,校级,汽车工程学院,2025-12-21,驳回,张伟,认定依据不足，请补充说明材料
202400310,校三好学生,校级,学校,2025-08-03,通过,张伟,佐证材料完整，予以通过
202400311,校一等奖学金,校级,汽车工程学院,2024-10-07,通过,张伟,材料齐全，同意认定
202400311,校二等奖学金,校级,校团委,2025-07-16,通过,张伟,材料齐全，同意认定
202400312,社会实践先进个人,校级,校团委,2026-03-26,通过,张伟,材料齐全，同意认定
202400312,校一等奖学金,校级,学校,2025-09-01,通过,张伟,符合认定条件，通过
202400313,校优秀学生干部,校级,校团委,2024-03-02,通过,张伟,材料齐全，同意认定
